query_protein,train_protein,similarity_score
protein_0005,protein_0000,0.20833333333333334
protein_0005,protein_0001,0.12643678160919541
protein_0005,protein_0002,0.30952380952380953
protein_0005,protein_0003,0.13402061855670103
protein_0005,protein_0004,0.14893617021276595
protein_0005,protein_0006,0.15625
protein_0005,protein_0007,0.14285714285714285
protein_0005,protein_0008,0.16822429906542055
protein_0005,protein_0009,0.17391304347826086
protein_0005,protein_0010,0.17525773195876287
protein_0005,protein_0011,0.16666666666666666
protein_0005,protein_0012,0.14736842105263157
protein_0005,protein_0013,0.16666666666666666
protein_0005,protein_0014,0.19101123595505617
protein_0005,protein_0015,0.12264150943396226
protein_0005,protein_0016,0.18627450980392157
protein_0005,protein_0017,0.1328125
protein_0005,protein_0018,0.12903225806451613
protein_0005,protein_0019,0.19047619047619047
protein_0005,protein_0020,0.1935483870967742
protein_0005,protein_0021,0.2823529411764706
protein_0005,protein_0023,0.16091954022988506
protein_0005,protein_0024,0.15384615384615385
protein_0005,protein_0026,0.1037037037037037
protein_0005,protein_0027,0.13131313131313133
protein_0005,protein_0028,0.16346153846153846
protein_0005,protein_0029,0.18181818181818182
protein_0005,protein_0032,0.18085106382978725
protein_0005,protein_0033,0.15625
protein_0005,protein_0034,0.19791666666666666
protein_0005,protein_0035,0.19607843137254902
protein_0005,protein_0036,0.14942528735632185
protein_0005,protein_0037,0.18181818181818182
protein_0005,protein_0038,0.18181818181818182
protein_0005,protein_0040,0.1724137931034483
protein_0005,protein_0041,0.15053763440860216
protein_0005,protein_0042,0.17045454545454544
protein_0005,protein_0043,0.14893617021276595
protein_0005,protein_0044,0.13829787234042554
protein_0005,protein_0047,0.1875
protein_0005,protein_0048,0.1875
protein_0005,protein_0049,0.21052631578947367
protein_0005,protein_0050,0.11650485436893204
protein_0005,protein_0051,0.14285714285714285
protein_0005,protein_0052,0.11224489795918367
protein_0005,protein_0053,0.1782178217821782
protein_0005,protein_0054,0.1111111111111111
protein_0005,protein_0056,0.14678899082568808
protein_0005,protein_0057,0.1590909090909091
protein_0005,protein_0058,0.18181818181818182
protein_0005,protein_0059,0.1276595744680851
protein_0005,protein_0060,0.12037037037037036
protein_0005,protein_0061,0.16494845360824742
protein_0005,protein_0062,0.14772727272727273
protein_0005,protein_0063,0.08878504672897196
protein_0005,protein_0064,0.15306122448979592
protein_0005,protein_0065,0.17
protein_0005,protein_0066,0.12962962962962962
protein_0005,protein_0067,0.16666666666666666
protein_0005,protein_0068,0.14583333333333334
protein_0005,protein_0069,0.16666666666666666
protein_0005,protein_0071,0.16494845360824742
protein_0005,protein_0072,0.15476190476190477
protein_0005,protein_0074,0.10869565217391304
protein_0005,protein_0075,0.19801980198019803
protein_0005,protein_0077,0.15151515151515152
protein_0005,protein_0079,0.13861386138613863
protein_0005,protein_0080,0.17346938775510204
protein_0005,protein_0081,0.10576923076923077
protein_0005,protein_0083,0.16842105263157894
protein_0005,protein_0084,0.19148936170212766
protein_0005,protein_0085,0.16666666666666666
protein_0005,protein_0086,0.14563106796116504
protein_0005,protein_0087,0.16091954022988506
protein_0005,protein_0088,0.125
protein_0005,protein_0089,0.18487394957983194
protein_0005,protein_0090,0.15966386554621848
protein_0005,protein_0091,0.12389380530973451
protein_0005,protein_0092,0.12389380530973451
protein_0005,protein_0093,0.12631578947368421
protein_0005,protein_0094,0.20168067226890757
protein_0005,protein_0095,0.15126050420168066
protein_0005,protein_0096,0.19047619047619047
protein_0005,protein_0097,0.23711340206185566
protein_0005,protein_0098,0.12903225806451613
protein_0005,protein_0099,0.12727272727272726
protein_0005,protein_0100,0.19767441860465115
protein_0005,protein_0102,0.1326530612244898
protein_0005,protein_0103,0.17391304347826086
protein_0005,protein_0104,0.1282051282051282
protein_0005,protein_0105,0.18823529411764706
